model,policy_rank,policy_file,policy_sha256,training_fitness,episode,fitness,completed_at_utc
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,1,2.0951264179,2026-06-24T18:40:51.729228+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,2,2.3087293212,2026-06-24T18:41:16.078419+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,3,3.5713984398,2026-06-24T18:41:40.833512+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,4,2.2374084371,2026-06-24T18:42:04.394266+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,5,2.2230097817,2026-06-24T18:42:28.720455+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,6,2.1851672384,2026-06-24T18:42:53.801582+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,7,2.2328481111,2026-06-24T18:43:17.251078+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,8,2.1955628843,2026-06-24T18:43:41.505350+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,9,3.6767010224,2026-06-24T18:44:05.998958+00:00
camera360,1,top_1_policy_camera360_fitness_5.0095.npy,80c9ec4902dc5b969188a2fca18ff3a910e4ec5f3979438f07c8cc7a2a5267bf,5.0095,10,2.6099623802,2026-06-24T18:44:30.278559+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,1,3.6139865676,2026-06-24T18:44:54.466366+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,2,3.4407749864,2026-06-24T18:45:18.794452+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,3,2.1542307498,2026-06-24T18:45:43.099280+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,4,3.8188727763,2026-06-24T18:46:07.146510+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,5,2.3886458592,2026-06-24T18:46:30.341887+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,6,2.2278089729,2026-06-24T18:46:54.917219+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,7,2.1668534695,2026-06-24T18:47:19.550457+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,8,2.0387774469,2026-06-24T18:47:45.032526+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,9,2.2020295770,2026-06-24T18:48:09.442150+00:00
camera360,2,top_2_policy_camera360_fitness_4.9324.npy,0f985d976f32f92d5456c93c97b131e4aff37165462544c462b2d5233dbde9d4,4.9324,10,1.9961605386,2026-06-24T18:48:33.423503+00:00
camera360,3,top_3_policy_camera360_fitness_4.9279.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4.9279,1,3.3371290790,2026-06-24T18:48:57.030187+00:00
