model,policy_rank,policy_file,policy_sha256,training_fitness,episode,fitness,completed_at_utc
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,1,2.3358656173,2026-06-24T19:27:25.087386+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,2,2.5055548697,2026-06-24T19:27:49.167880+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,3,2.4759491812,2026-06-24T19:28:14.778770+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,4,2.6970770323,2026-06-24T19:28:38.935670+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,5,2.8284780691,2026-06-24T19:29:02.896821+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,6,2.2827216711,2026-06-24T19:29:27.346741+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,7,2.6885987316,2026-06-24T19:29:51.097216+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,8,2.7217218345,2026-06-24T19:30:15.030239+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,9,2.1912851056,2026-06-24T19:30:39.899429+00:00
fpv,1,top_1_policy_fpv_fitness_4.5002.npy,99522ff529164c637f318cf058029dad189b93ae60f837d6916a5e1edc685fe9,4.5002,10,2.2877796206,2026-06-24T19:31:04.158781+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,1,1.7718480322,2026-06-24T19:31:27.981475+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,2,1.9287294842,2026-06-24T19:31:52.191713+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,3,1.8072105157,2026-06-24T19:32:16.759931+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,4,1.8699841473,2026-06-24T19:32:40.902838+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,5,1.7832867428,2026-06-24T19:33:04.460959+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,6,1.8398415729,2026-06-24T19:33:29.033069+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,7,1.9930083113,2026-06-24T19:33:52.528827+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,8,1.9156389579,2026-06-24T19:34:17.385387+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,9,1.6989952349,2026-06-24T19:34:41.455680+00:00
fpv,2,top_2_policy_fpv_fitness_4.3002.npy,ddcaae3631143db7ae4176a0e011700caf695b01fb3913fcbd24a374ad692f52,4.3002,10,1.7270621549,2026-06-24T19:35:06.088636+00:00
