model,policy_rank,policy_file,policy_sha256,training_fitness,episode,fitness,completed_at_utc
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,1,2.5966864384,2026-06-24T18:12:14.694876+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,2,2.6071981739,2026-06-24T18:12:40.184686+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,3,2.5467897366,2026-06-24T18:13:06.485917+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,4,3.3242652798,2026-06-24T18:13:32.584949+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,5,2.5278325654,2026-06-24T18:13:57.234782+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,6,2.6494706316,2026-06-24T18:14:22.473424+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,7,3.6432069280,2026-06-24T18:14:47.666542+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,8,3.1747015980,2026-06-24T18:15:12.869443+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,9,3.5617440402,2026-06-24T18:15:37.405756+00:00
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,10,3.9437002771,2026-06-24T18:16:02.481260+00:00
privileged,2,top_2_policy_privileged_fitness_4.9744.npy,69eb514981e699b34901b3a4892c43874a3c7bad1764e557c52f2f2f41ac005e,4.9744,1,2.8734804504,2026-06-24T18:16:27.964214+00:00
privileged,2,top_2_policy_privileged_fitness_4.9744.npy,69eb514981e699b34901b3a4892c43874a3c7bad1764e557c52f2f2f41ac005e,4.9744,2,3.3488701367,2026-06-24T18:16:52.534083+00:00
privileged,2,top_2_policy_privileged_fitness_4.9744.npy,69eb514981e699b34901b3a4892c43874a3c7bad1764e557c52f2f2f41ac005e,4.9744,3,3.2105325493,2026-06-24T18:17:18.071052+00:00
