model,policy_file,policy_sha256,episode,fitness,trajectory_file,completed_at_utc
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,1,2.4559612539,trajectories/episode_01.csv,2026-06-24T20:20:21.292533+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,2,2.5506552528,trajectories/episode_02.csv,2026-06-24T20:20:48.801852+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,3,2.3506225848,trajectories/episode_03.csv,2026-06-24T20:21:15.853361+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4,3.8484430406,trajectories/episode_04.csv,2026-06-24T20:21:42.794848+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,5,2.5999750990,trajectories/episode_05.csv,2026-06-24T20:22:10.101658+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,6,2.8369137336,trajectories/episode_06.csv,2026-06-24T20:22:36.992754+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,7,2.7628279837,trajectories/episode_07.csv,2026-06-24T20:23:03.535237+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,8,3.1674276351,trajectories/episode_08.csv,2026-06-24T20:23:30.354800+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,9,3.1197951023,trajectories/episode_09.csv,2026-06-24T20:23:57.189470+00:00
camera360,selected_policy_camera360.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,10,3.1637183725,trajectories/episode_10.csv,2026-06-24T20:24:24.660586+00:00
