episode,time_s,robot,role,x,y,yaw
6,0.000000,predator_2,predator,0.54979524,-0.74616461,1.57216011
6,0.017000,predator_1,predator,-0.00012241,-0.73713623,1.56780497
6,0.038000,prey_0,prey,0.00030087,0.01396819,1.56440581
6,0.058000,predator_0,predator,-0.55019316,-0.73646492,1.56804359
6,0.100000,predator_2,predator,0.54979337,-0.74613314,1.57217537
6,0.117000,predator_1,predator,-0.00012380,-0.73701978,1.56778101
6,0.138000,prey_0,prey,0.00030457,0.01401911,1.56435665
6,0.158000,predator_0,predator,-0.55019484,-0.73635297,1.56802178
6,0.200000,predator_2,predator,0.54979159,-0.74610157,1.57218900
6,0.217000,predator_1,predator,-0.00012495,-0.73690729,1.56775797
6,0.238000,prey_0,prey,0.00030828,0.01407003,1.56430748
6,0.258000,predator_0,predator,-0.55019642,-0.73623651,1.56799878
6,0.300000,predator_2,predator,0.54978984,-0.74607021,1.57220464
6,0.317000,predator_1,predator,-0.00012643,-0.73679535,1.56773531
6,0.338000,prey_0,prey,0.00031199,0.01412095,1.56425828
6,0.358000,predator_0,predator,-0.55019779,-0.73612402,1.56797669
6,0.400000,predator_2,predator,0.54978820,-0.74603882,1.57222130
6,0.417000,predator_1,predator,-0.00012781,-0.73667890,1.56771145
6,0.438000,prey_0,prey,0.00031571,0.01417187,1.56420907
6,0.458000,predator_0,predator,-0.55019946,-0.73601206,1.56795497
6,0.500000,predator_2,predator,0.54978649,-0.74600752,1.57223870
6,0.517000,predator_1,predator,-0.00012897,-0.73656641,1.56768851
6,0.538000,prey_0,prey,0.00031942,0.01422279,1.56415985
6,0.558000,predator_0,predator,-0.55020104,-0.73589560,1.56793208
6,0.600000,predator_2,predator,0.54978475,-0.74597611,1.57225519
6,0.617000,predator_1,predator,-0.00013045,-0.73645447,1.56766595
6,0.638000,prey_0,prey,0.00032314,0.01427371,1.56411060
6,0.658000,predator_0,predator,-0.55020240,-0.73578311,1.56791009
6,0.700000,predator_2,predator,0.54978295,-0.74594463,1.57226844
6,0.717000,predator_1,predator,-0.00013182,-0.73633802,1.56764219
6,0.738000,prey_0,prey,0.00032687,0.01432463,1.56406134
6,0.758000,predator_0,predator,-0.55020408,-0.73567116,1.56788848
6,0.800000,predator_2,predator,0.54978120,-0.74591289,1.57227945
6,0.817000,predator_1,predator,-0.00013297,-0.73622553,1.56761935
6,0.838000,prey_0,prey,0.00033059,0.01437555,1.56401206
6,0.858000,predator_0,predator,-0.55020565,-0.73555470,1.56786569
6,0.900000,predator_2,predator,0.54977946,-0.74588142,1.57229512
6,0.917000,predator_1,predator,-0.00013445,-0.73611359,1.56759690
6,0.938000,prey_0,prey,0.00033433,0.01442647,1.56396276
6,0.958000,predator_0,predator,-0.55020701,-0.73544220,1.56784379
6,1.000000,predator_2,predator,0.54977766,-0.74584991,1.57230990
6,1.017000,predator_1,predator,-0.00013583,-0.73599713,1.56757324
6,1.038000,prey_0,prey,0.00033806,0.01447739,1.56391344
6,1.058000,predator_0,predator,-0.55020868,-0.73533025,1.56782228
6,1.100000,predator_2,predator,0.54977583,-0.74581840,1.57232362
6,1.117000,predator_1,predator,-0.00013697,-0.73588465,1.56755051
6,1.138000,prey_0,prey,0.00034180,0.01452831,1.56386410
6,1.158000,predator_0,predator,-0.55021026,-0.73521379,1.56779960
6,1.200000,predator_2,predator,0.54977417,-0.74578698,1.57233750
6,1.217000,predator_1,predator,-0.00013844,-0.73577270,1.56752815
6,1.238000,prey_0,prey,0.00034554,0.01457924,1.56381475
6,1.258000,predator_0,predator,-0.55021161,-0.73510129,1.56777780
6,1.300000,predator_2,predator,0.54977242,-0.74575545,1.57235171
6,1.317000,predator_1,predator,-0.00013982,-0.73565625,1.56750460
6,1.338000,prey_0,prey,0.00034928,0.01463016,1.56376538
6,1.358000,predator_0,predator,-0.55021328,-0.73498934,1.56775639
6,1.400000,predator_2,predator,0.54977070,-0.74572411,1.57236849
6,1.417000,predator_1,predator,-0.00014096,-0.73554376,1.56748196
6,1.438000,prey_0,prey,0.00035303,0.01468108,1.56371599
6,1.458000,predator_0,predator,-0.55021485,-0.73487288,1.56773381
6,1.500000,predator_2,predator,0.54976877,-0.74569235,1.57238025
6,1.517000,predator_1,predator,-0.00014243,-0.73543182,1.56745971
6,1.538000,prey_0,prey,0.00035678,0.01473200,1.56366658
6,1.558000,predator_0,predator,-0.55021620,-0.73476038,1.56771211
6,1.600000,predator_2,predator,0.54976713,-0.74566093,1.57239680
6,1.617000,predator_1,predator,-0.00014380,-0.73531537,1.56743626
6,1.638000,prey_0,prey,0.00036053,0.01478292,1.56361716
6,1.658000,predator_0,predator,-0.55021787,-0.73464843,1.56769080
6,1.700000,predator_2,predator,0.54976539,-0.74562918,1.57240727
6,1.717000,predator_1,predator,-0.00014494,-0.73520288,1.56741372
6,1.738000,prey_0,prey,0.00036429,0.01483384,1.56356772
6,1.758000,predator_0,predator,-0.55021944,-0.73453197,1.56766832
6,1.800000,predator_2,predator,0.54976347,-0.74559760,1.57242229
6,1.817000,predator_1,predator,-0.00014641,-0.73509093,1.56739157
6,1.838000,prey_0,prey,0.00036805,0.01488476,1.56351826
6,1.858000,predator_0,predator,-0.55022079,-0.73441947,1.56764673
6,1.900000,predator_2,predator,0.54976174,-0.74556629,1.57243917
6,1.917000,predator_1,predator,-0.00014777,-0.73497448,1.56736822
6,1.938000,prey_0,prey,0.00037181,0.01493568,1.56346878
6,1.958000,predator_0,predator,-0.55022245,-0.73430752,1.56762552
6,2.000000,predator_2,predator,0.54975999,-0.74553479,1.57245410
