episode,time_s,robot,role,x,y,yaw
7,0.000000,prey_0,prey,-0.00015678,0.01209654,1.56824459
7,0.053000,predator_2,predator,0.54998800,-0.75091928,1.57086926
7,0.063000,predator_1,predator,0.00040429,-0.74410961,1.56548432
7,0.067000,predator_0,predator,-0.55019258,-0.73948197,1.56858993
7,0.100000,prey_0,prey,-0.00015833,0.01220849,1.56822173
7,0.153000,predator_2,predator,0.54998798,-0.75092869,1.57087179
7,0.163000,predator_1,predator,0.00040801,-0.74405861,1.56543583
7,0.167000,predator_0,predator,-0.55019442,-0.73936956,1.56856701
7,0.200000,prey_0,prey,-0.00015978,0.01232495,1.56819767
7,0.253000,predator_2,predator,0.54998797,-0.75093770,1.57087432
7,0.263000,predator_1,predator,0.00041172,-0.74400760,1.56538732
7,0.267000,predator_0,predator,-0.55019658,-0.73925768,1.56854468
7,0.300000,prey_0,prey,-0.00016100,0.01243744,1.56817454
7,0.353000,predator_2,predator,0.54998796,-0.75094752,1.57087676
7,0.363000,predator_1,predator,0.00041544,-0.74395660,1.56533880
7,0.367000,predator_0,predator,-0.55019863,-0.73914130,1.56852105
7,0.400000,prey_0,prey,-0.00016255,0.01254939,1.56815179
7,0.453000,predator_2,predator,0.54998673,-0.75094408,1.57085520
7,0.463000,predator_1,predator,0.00041917,-0.74390559,1.56529026
7,0.467000,predator_0,predator,-0.55020046,-0.73902889,1.56849824
7,0.500000,prey_0,prey,-0.00016399,0.01266585,1.56812784
7,0.553000,predator_2,predator,0.54998723,-0.75095349,1.57085996
7,0.563000,predator_1,predator,0.00042289,-0.74385459,1.56524170
7,0.567000,predator_0,predator,-0.55020261,-0.73891701,1.56847601
7,0.600000,prey_0,prey,-0.00016521,0.01277835,1.56810482
7,0.653000,predator_2,predator,0.54998721,-0.75096312,1.57086247
7,0.663000,predator_1,predator,0.00042662,-0.74380358,1.56519313
7,0.667000,predator_0,predator,-0.55020466,-0.73880063,1.56845249
7,0.700000,prey_0,prey,-0.00016676,0.01289030,1.56808217
7,0.753000,predator_2,predator,0.54998720,-0.75097229,1.57086489
7,0.763000,predator_1,predator,0.00043036,-0.74375258,1.56514453
7,0.767000,predator_0,predator,-0.55020650,-0.73868822,1.56842977
7,0.800000,prey_0,prey,-0.00016820,0.01300676,1.56805833
7,0.853000,predator_2,predator,0.54998719,-0.75098171,1.57086741
7,0.863000,predator_1,predator,0.00043409,-0.74370158,1.56509592
7,0.867000,predator_0,predator,-0.55020865,-0.73857634,1.56840765
7,0.900000,prey_0,prey,-0.00016942,0.01311925,1.56803541
7,0.953000,predator_2,predator,0.54998717,-0.75099135,1.57086994
7,0.963000,predator_1,predator,0.00043783,-0.74365057,1.56504729
7,0.967000,predator_0,predator,-0.55021069,-0.73845996,1.56838423
7,1.000000,prey_0,prey,-0.00017096,0.01323120,1.56801287
7,1.053000,predator_2,predator,0.54998716,-0.75100053,1.57087237
7,1.063000,predator_1,predator,0.00044158,-0.74359957,1.56499865
7,1.067000,predator_0,predator,-0.55021252,-0.73834754,1.56836163
7,1.100000,prey_0,prey,-0.00017240,0.01334766,1.56798914
7,1.153000,predator_2,predator,0.54998715,-0.75100995,1.57087490
7,1.163000,predator_1,predator,0.00044532,-0.74354856,1.56494998
7,1.167000,predator_0,predator,-0.55021467,-0.73823567,1.56833961
7,1.200000,prey_0,prey,-0.00017362,0.01346016,1.56796633
7,1.253000,predator_2,predator,0.54998714,-0.75101959,1.57087744
7,1.263000,predator_1,predator,0.00044907,-0.74349756,1.56490130
7,1.267000,predator_0,predator,-0.55021671,-0.73811929,1.56831630
7,1.300000,prey_0,prey,-0.00017516,0.01357211,1.56794389
7,1.353000,predator_2,predator,0.54998637,-0.75101686,1.57085630
7,1.363000,predator_1,predator,0.00045283,-0.74344655,1.56485260
7,1.367000,predator_0,predator,-0.55021854,-0.73800687,1.56829379
7,1.400000,prey_0,prey,-0.00017660,0.01368857,1.56792027
7,1.453000,predator_2,predator,0.54998640,-0.75102603,1.57085906
7,1.463000,predator_1,predator,0.00045658,-0.74339555,1.56480389
7,1.467000,predator_0,predator,-0.55022069,-0.73789500,1.56827188
7,1.500000,prey_0,prey,-0.00017781,0.01380106,1.56789757
7,1.553000,predator_2,predator,0.54998638,-0.75103545,1.57086157
7,1.563000,predator_1,predator,0.00046034,-0.74334454,1.56475515
7,1.567000,predator_0,predator,-0.55022273,-0.73777861,1.56824867
7,1.600000,prey_0,prey,-0.00017935,0.01391301,1.56787524
7,1.653000,predator_2,predator,0.54998637,-0.75104508,1.57086408
7,1.663000,predator_1,predator,0.00046411,-0.74329353,1.56470640
7,1.667000,predator_0,predator,-0.55022455,-0.73766620,1.56822627
7,1.700000,prey_0,prey,-0.00018079,0.01402948,1.56785172
7,1.753000,predator_2,predator,0.54998636,-0.75105426,1.57086652
7,1.763000,predator_1,predator,0.00046787,-0.74324253,1.56465763
7,1.767000,predator_0,predator,-0.55022670,-0.73755432,1.56820446
7,1.800000,prey_0,prey,-0.00018200,0.01414197,1.56782912
7,1.853000,predator_2,predator,0.54998634,-0.75106368,1.57086905
7,1.863000,predator_1,predator,0.00047164,-0.74319152,1.56460884
7,1.867000,predator_0,predator,-0.55022874,-0.73743794,1.56818135
7,1.900000,prey_0,prey,-0.00018353,0.01425392,1.56780690
7,1.953000,predator_2,predator,0.54998633,-0.75107332,1.57087157
