episode,time_s,robot,role,x,y,yaw
3,0.000000,predator_2,predator,0.55041699,-0.74370317,1.56520179
3,0.026000,prey_0,prey,-0.00019402,0.00366676,1.57015451
3,0.055000,predator_0,predator,-0.55017188,-0.74630624,1.57053254
3,0.055000,predator_1,predator,-0.00021385,-0.73855431,1.56848493
3,0.100000,predator_2,predator,0.55042072,-0.74365214,1.56515325
3,0.126000,prey_0,prey,-0.00019556,0.00369865,1.57014947
3,0.155000,predator_0,predator,-0.55017342,-0.74627434,1.57052905
3,0.155000,predator_1,predator,-0.00021571,-0.73844190,1.56846220
3,0.200000,predator_2,predator,0.55042446,-0.74360111,1.56510470
3,0.226000,prey_0,prey,-0.00019721,0.00373053,1.57014522
3,0.255000,predator_0,predator,-0.55017494,-0.74624243,1.57052535
3,0.255000,predator_1,predator,-0.00021787,-0.73833003,1.56844006
3,0.300000,predator_2,predator,0.55042820,-0.74355008,1.56505613
3,0.326000,prey_0,prey,-0.00019875,0.00376243,1.57014023
3,0.355000,predator_0,predator,-0.55017647,-0.74621053,1.57052184
3,0.355000,predator_1,predator,-0.00021994,-0.73821365,1.56841663
3,0.400000,predator_2,predator,0.55043194,-0.74349905,1.56500754
3,0.426000,prey_0,prey,-0.00020040,0.00379431,1.57013603
3,0.455000,predator_0,predator,-0.55017799,-0.74617861,1.57051810
3,0.455000,predator_1,predator,-0.00022179,-0.73810123,1.56839399
3,0.500000,predator_2,predator,0.55043569,-0.74344802,1.56495893
3,0.526000,prey_0,prey,-0.00020194,0.00382621,1.57013108
3,0.555000,predator_0,predator,-0.55017952,-0.74614671,1.57051456
3,0.555000,predator_1,predator,-0.00022395,-0.73798936,1.56837196
3,0.600000,predator_2,predator,0.55043944,-0.74339699,1.56491031
3,0.626000,prey_0,prey,-0.00020359,0.00385809,1.57012693
3,0.655000,predator_0,predator,-0.55018105,-0.74611480,1.57051080
3,0.655000,predator_1,predator,-0.00022601,-0.73787298,1.56834862
3,0.700000,predator_2,predator,0.55044319,-0.74334596,1.56486167
3,0.726000,prey_0,prey,-0.00020512,0.00388998,1.57012202
3,0.755000,predator_0,predator,-0.55018258,-0.74608290,1.57050723
3,0.755000,predator_1,predator,-0.00022786,-0.73776057,1.56832609
3,0.800000,predator_2,predator,0.55044695,-0.74329493,1.56481301
3,0.826000,prey_0,prey,-0.00020677,0.00392187,1.57011793
3,0.855000,predator_0,predator,-0.55018410,-0.74605099,1.57050343
3,0.855000,predator_1,predator,-0.00023002,-0.73764870,1.56830416
3,0.900000,predator_2,predator,0.55045071,-0.74324390,1.56476434
3,0.926000,prey_0,prey,-0.00020831,0.00395376,1.57011307
3,0.955000,predator_0,predator,-0.55018563,-0.74601909,1.57049984
3,0.955000,predator_1,predator,-0.00023207,-0.73753231,1.56828092
3,1.000000,predator_2,predator,0.55045447,-0.74319287,1.56471564
3,1.026000,prey_0,prey,-0.00020995,0.00398564,1.57010903
3,1.055000,predator_0,predator,-0.55018716,-0.74598717,1.57049601
3,1.055000,predator_1,predator,-0.00023392,-0.73741990,1.56825849
3,1.100000,predator_2,predator,0.55045824,-0.74314184,1.56466693
3,1.126000,prey_0,prey,-0.00021149,0.00401754,1.57010421
3,1.155000,predator_0,predator,-0.55018869,-0.74595527,1.57049238
3,1.155000,predator_1,predator,-0.00023608,-0.73730803,1.56823666
3,1.200000,predator_2,predator,0.55046201,-0.74309081,1.56461820
3,1.226000,prey_0,prey,-0.00021313,0.00404942,1.57010022
3,1.255000,predator_0,predator,-0.55019021,-0.74592336,1.57048853
3,1.255000,predator_1,predator,-0.00023813,-0.73719165,1.56821352
3,1.300000,predator_2,predator,0.55046578,-0.74303978,1.56456946
3,1.326000,prey_0,prey,-0.00021467,0.00408132,1.57009545
3,1.355000,predator_0,predator,-0.55019175,-0.74589146,1.57048487
3,1.355000,predator_1,predator,-0.00023997,-0.73707923,1.56819119
3,1.400000,predator_2,predator,0.55046956,-0.74298875,1.56452069
3,1.426000,prey_0,prey,-0.00021631,0.00411320,1.57009151
3,1.455000,predator_0,predator,-0.55019327,-0.74585954,1.57048099
3,1.455000,predator_1,predator,-0.00024213,-0.73696736,1.56816945
