optimizer,generation,episode,candidate,fitness,loss,generation_best_fitness,generation_mean_fitness,generation_std_fitness,best_so_far_fitness,sigma
cmaes,0,1,0,1.5690884832365977,-1.5690884832365977,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,2,1,1.592687166917925,-1.592687166917925,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,3,2,1.5717000428679884,-1.5717000428679884,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,4,3,1.5768403275898457,-1.5768403275898457,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,5,4,1.573217362114234,-1.573217362114234,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,6,5,1.5754057350597237,-1.5754057350597237,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,7,6,1.567790397771289,-1.567790397771289,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,8,7,1.5692420445496993,-1.5692420445496993,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,9,8,1.599352785231441,-1.599352785231441,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,10,9,1.5758290575045786,-1.5758290575045786,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,11,10,1.576528540958919,-1.576528540958919,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,12,11,1.5743277751587124,-1.5743277751587124,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,0,13,12,1.5738209744148846,-1.5738209744148846,1.599352785231441,1.5766023610289106,0.008836458041748598,1.599352785231441,0.4735528758230982
cmaes,1,14,0,1.663399311202373,-1.663399311202373,1.663399311202373,1.589651709125612,0.03480029019226301,1.663399311202373,0.44080484663144587
cmaes,1,15,1,1.5974053371049186,-1.5974053371049186,1.663399311202373,1.589651709125612,0.03480029019226301,1.663399311202373,0.44080484663144587
